7451,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DEL ESTADO SÓLIDO,PROPIEDADES ÓPTICAS,PUEBLA
8080,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,TECNOLOGIA ELECTRONICA,DISPOSITIVOS DE SEMICONDUCTORES,PUEBLA
8318,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DEL ESTADO SÓLIDO,PROPIEDADES ÓPTICAS,PUEBLA
8365,HUMANIDADES,"ARQUITECTURA, DISEÑO Y URBANISMO",OTRAS,PUEBLA
8622,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DEL ESTADO SÓLIDO,FÍSICA DEL ESTADO SÓLIDO,PUEBLA
8636,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,OPTICA,OTROS,PUEBLA
8665,CIENCIAS SOCIALES,DEMOGRAFIA HISTORICA,RECURSOS HUMANOS,PUEBLA
9986,HUMANIDADES,HISTORIA POR ESPECIALIDADES,OTRAS,PUEBLA
10068,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DE ALTAS ENERGÍAS,OTRAS,PUEBLA
10074,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DE ALTAS ENERGÍAS,FÍSICA TEÓRICA ALTAS ENERGÍAS,PUEBLA
10107,HUMANIDADES,ARQUITECTURA,OTROS,PUEBLA
10118,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA MOLECULAR,ESTRUCTURA MOLECULAR,PUEBLA
10312,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DE ALTAS ENERGÍAS,FÍSICA TEÓRICA ALTAS ENERGÍAS,PUEBLA
10411,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,TECNOLOGIA DE LAS MATERIAS,MATERIALES FUNCIONALES,PUEBLA
10825,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA TEÓRICA,OTRAS,PUEBLA
10830,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA MECATRÓNICA,ROBÓTICA,PUEBLA
11082,CIENCIAS SOCIALES,RELACIONES INTERNACIONALES,OTROS,PUEBLA
11144,HUMANIDADES,HISTORIA POR ESPECIALIDADES,HISTORIA DE LA IGLESIA,PUEBLA
11242,HUMANIDADES,CIUDAD TERRITORIO  Y SUSTENTABILIDAD,CIUDAD TERRITORIO  Y SUSTENTABILIDAD,PUEBLA
11400,CIENCIAS SOCIALES,ECONOMÍA INTERNACIONAL,ECONOMÍA INTERNACIONAL: ÁREA AMERICANA,PUEBLA
11490,MEDICINA Y CIENCIAS DE LA SALUD,NEUROCIENCIAS,OTRAS,PUEBLA
12172,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,FISICA DEL ESTADO SOLIDO,SEMICONDUCTORES,PUEBLA
12295,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ÓPTICA,ÓPTICA FÍSICA,PUEBLA
12774,HUMANIDADES,HISTORIA ESPECIALIZADA,HISTORIA SOCIAL,PUEBLA
12775,CIENCIAS SOCIALES,SOCIOLOGIA GENERAL,OTROS,PUEBLA
12777,CIENCIAS SOCIALES,SOCIOLOGIA DE LA POLITICA,OTROS,EXCEPTUADO CONFORME AL ARTÍCULO 28 FRACCIÓN I DEL REGLAMENTO SNII
12779,HUMANIDADES,"ARQUITECTURA, DISEÑO Y URBANISMO","ARQUITECTURA, DISEÑO Y URBANISMO",PUEBLA
13269,CIENCIAS SOCIALES,CIENCIAS POLÍTICAS,OTRAS,PUEBLA
13599,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,OPTICA,OPTICA NO LINEAL,PUEBLA
13747,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DE FLUÍDOS,COLOIDES,PUEBLA
13770,BIOLOGÍA Y QUÍMICA,BIOQUÍMICA,OLIGOELEMENTOS,PUEBLA
13786,HUMANIDADES,OTRAS ESPECIALIDADES FILOSÓFICAS,OTRAS,PUEBLA
